date,product_category,region,customer,sales_amount,cost,profit,margin
2025-02-10 19:19:52.800927,Sports & Outdoors,West,Customer_040,59.62,39.36,20.25,33.97
2025-02-10 19:19:52.800927,Home & Garden,Central,Customer_034,323.71,205.86,117.85,36.41
2025-02-10 19:19:52.800927,Home & Garden,South,Customer_025,182.88,126.67,56.21,30.73
2025-02-10 19:19:52.800927,Home & Garden,Central,Customer_016,355.28,221.75,133.53,37.58
2025-02-10 19:19:52.800927,Food & Beverages,South,Customer_005,121.77,81.07,40.7,33.42
2025-02-11 19:19:52.800927,Clothing,North,Customer_038,241.61,159.65,81.95,33.92
2025-02-11 19:19:52.800927,Home & Garden,West,Customer_005,227.69,140.97,86.71,38.08
2025-02-11 19:19:52.800927,Food & Beverages,Central,Customer_033,77.68,52.12,25.56,32.9
2025-02-11 19:19:52.800927,Home & Garden,West,Customer_006,275.0,176.63,98.37,35.77
2025-02-11 19:19:52.800927,Food & Beverages,South,Customer_021,11.64,7.0,4.64,39.86
2025-02-11 19:19:52.800927,Food & Beverages,North,Customer_046,131.61,91.1,40.51,30.78
2025-02-11 19:19:52.800927,Home & Garden,West,Customer_034,154.0,92.52,61.48,39.92
2025-02-11 19:19:52.800927,Clothing,East,Customer_045,20.23,12.47,7.76,38.35
2025-02-11 19:19:52.800927,Electronics,North,Customer_041,670.81,429.9,240.91,35.91
2025-02-11 19:19:52.800927,Electronics,West,Customer_018,550.0,345.58,204.42,37.17
2025-02-11 19:19:52.800927,Clothing,East,Customer_044,161.86,102.23,59.63,36.84
2025-02-11 19:19:52.800927,Food & Beverages,West,Customer_046,51.89,32.97,18.92,36.46
2025-02-11 19:19:52.800927,Home & Garden,East,Customer_028,10.0,6.71,3.29,32.86
2025-02-11 19:19:52.800927,Sports & Outdoors,Central,Customer_050,81.34,50.72,30.62,37.64
2025-02-11 19:19:52.800927,Food & Beverages,West,Customer_021,59.93,36.54,23.39,39.03
2025-02-11 19:19:52.800927,Electronics,East,Customer_021,391.95,257.48,134.47,34.31
2025-02-12 19:19:52.800927,Home & Garden,Central,Customer_039,262.01,170.36,91.65,34.98
2025-02-12 19:19:52.800927,Home & Garden,South,Customer_037,129.53,90.61,38.92,30.04
2025-02-12 19:19:52.800927,Food & Beverages,East,Customer_034,26.66,17.79,8.87,33.27
2025-02-12 19:19:52.800927,Home & Garden,Central,Customer_004,221.36,152.18,69.17,31.25
2025-02-12 19:19:52.800927,Clothing,South,Customer_007,100.53,65.03,35.5,35.31
2025-02-12 19:19:52.800927,Home & Garden,Central,Customer_047,10.0,6.53,3.47,34.71
2025-02-12 19:19:52.800927,Home & Garden,East,Customer_045,239.34,151.03,88.3,36.89
2025-02-12 19:19:52.800927,Sports & Outdoors,North,Customer_040,144.57,93.93,50.64,35.03
2025-02-12 19:19:52.800927,Home & Garden,North,Customer_023,134.58,88.55,46.03,34.2
2025-02-12 19:19:52.800927,Sports & Outdoors,East,Customer_027,330.65,210.56,120.09,36.32
2025-02-12 19:19:52.800927,Sports & Outdoors,Central,Customer_022,94.27,65.75,28.52,30.25
2025-02-13 19:19:52.800927,Sports & Outdoors,South,Customer_039,268.76,161.82,106.94,39.79
2025-02-13 19:19:52.800927,Sports & Outdoors,Central,Customer_023,195.21,124.09,71.12,36.43
2025-02-13 19:19:52.800927,Clothing,North,Customer_049,203.36,126.96,76.4,37.57
2025-02-13 19:19:52.800927,Food & Beverages,Central,Customer_046,116.88,74.77,42.11,36.03
2025-02-13 19:19:52.800927,Sports & Outdoors,South,Customer_005,99.85,62.21,37.64,37.69
2025-02-13 19:19:52.800927,Home & Garden,Central,Customer_021,119.61,78.02,41.58,34.77
2025-02-13 19:19:52.800927,Clothing,Central,Customer_046,198.94,121.67,77.27,38.84
2025-02-13 19:19:52.800927,Electronics,South,Customer_009,460.54,299.62,160.92,34.94
2025-02-13 19:19:52.800927,Electronics,South,Customer_004,829.39,554.47,274.93,33.15
2025-02-13 19:19:52.800927,Clothing,South,Customer_031,162.66,108.12,54.53,33.53
2025-02-13 19:19:52.800927,Home & Garden,Central,Customer_041,186.11,116.24,69.87,37.54
2025-02-13 19:19:52.800927,Home & Garden,Central,Customer_025,78.55,53.98,24.57,31.28
2025-02-13 19:19:52.800927,Food & Beverages,North,Customer_021,10.0,6.61,3.39,33.9
2025-02-14 19:19:52.800927,Sports & Outdoors,South,Customer_050,72.5,43.97,28.53,39.35
2025-02-14 19:19:52.800927,Food & Beverages,Central,Customer_020,121.5,75.76,45.74,37.65
2025-02-14 19:19:52.800927,Electronics,North,Customer_044,716.43,446.28,270.14,37.71
2025-02-14 19:19:52.800927,Electronics,South,Customer_047,596.35,411.38,184.97,31.02
2025-02-14 19:19:52.800927,Clothing,Central,Customer_046,121.12,73.04,48.08,39.7
2025-02-14 19:19:52.800927,Sports & Outdoors,West,Customer_025,131.47,79.87,51.6,39.25
2025-02-14 19:19:52.800927,Home & Garden,Central,Customer_029,311.39,216.84,94.54,30.36
2025-02-14 19:19:52.800927,Food & Beverages,South,Customer_042,112.71,70.22,42.49,37.7
2025-02-14 19:19:52.800927,Sports & Outdoors,South,Customer_050,166.74,103.92,62.83,37.68
2025-02-14 19:19:52.800927,Food & Beverages,North,Customer_002,91.58,63.79,27.79,30.35
2025-02-14 19:19:52.800927,Food & Beverages,West,Customer_021,67.75,41.93,25.82,38.11
2025-02-14 19:19:52.800927,Sports & Outdoors,Central,Customer_016,94.01,65.63,28.38,30.19
2025-02-14 19:19:52.800927,Sports & Outdoors,North,Customer_013,365.03,237.1,127.93,35.05
2025-02-14 19:19:52.800927,Sports & Outdoors,North,Customer_041,301.18,186.45,114.73,38.09
2025-02-14 19:19:52.800927,Clothing,Central,Customer_048,189.12,124.17,64.95,34.35
2025-02-14 19:19:52.800927,Home & Garden,South,Customer_007,343.74,228.58,115.15,33.5
2025-02-14 19:19:52.800927,Electronics,Central,Customer_039,476.31,311.61,164.7,34.58
2025-02-14 19:19:52.800927,Electronics,West,Customer_042,765.15,507.35,257.8,33.69
2025-02-14 19:19:52.800927,Electronics,West,Customer_036,137.54,84.57,52.97,38.51
2025-02-14 19:19:52.800927,Electronics,West,Customer_050,702.08,427.52,274.56,39.11
2025-02-15 19:19:52.800927,Food & Beverages,Central,Customer_038,63.68,41.64,22.03,34.6
2025-02-15 19:19:52.800927,Clothing,West,Customer_042,69.64,48.07,21.57,30.98
2025-02-15 19:19:52.800927,Clothing,Central,Customer_022,10.0,6.93,3.07,30.67
2025-02-15 19:19:52.800927,Food & Beverages,East,Customer_018,101.97,64.88,37.09,36.38
2025-02-15 19:19:52.800927,Sports & Outdoors,East,Customer_028,270.2,179.66,90.54,33.51
2025-02-15 19:19:52.800927,Clothing,South,Customer_008,77.08,50.27,26.81,34.78
2025-02-15 19:19:52.800927,Electronics,West,Customer_032,439.95,300.61,139.34,31.67
2025-02-15 19:19:52.800927,Home & Garden,East,Customer_012,85.61,53.18,32.43,37.88
2025-02-15 19:19:52.800927,Food & Beverages,Central,Customer_043,77.53,49.55,27.98,36.09
2025-02-16 19:19:52.800927,Sports & Outdoors,North,Customer_030,229.36,156.63,72.73,31.71
2025-02-16 19:19:52.800927,Sports & Outdoors,Central,Customer_029,248.13,166.74,81.39,32.8
2025-02-16 19:19:52.800927,Sports & Outdoors,West,Customer_008,163.65,104.58,59.07,36.1
2025-02-16 19:19:52.800927,Home & Garden,West,Customer_003,209.9,140.2,69.69,33.2
2025-02-16 19:19:52.800927,Sports & Outdoors,South,Customer_021,189.69,131.43,58.26,30.71
2025-02-16 19:19:52.800927,Electronics,North,Customer_049,761.92,475.8,286.12,37.55
2025-02-16 19:19:52.800927,Clothing,Central,Customer_035,107.5,64.83,42.67,39.69
2025-02-16 19:19:52.800927,Home & Garden,West,Customer_036,27.75,17.6,10.14,36.55
2025-02-16 19:19:52.800927,Home & Garden,North,Customer_005,229.5,143.11,86.39,37.64
2025-02-16 19:19:52.800927,Home & Garden,North,Customer_034,234.09,142.46,91.64,39.15
2025-02-16 19:19:52.800927,Electronics,West,Customer_029,276.35,184.09,92.25,33.38
2025-02-16 19:19:52.800927,Clothing,Central,Customer_033,109.28,72.39,36.89,33.75
2025-02-17 19:19:52.800927,Sports & Outdoors,North,Customer_004,211.98,127.69,84.29,39.76
2025-02-17 19:19:52.800927,Home & Garden,South,Customer_019,196.15,135.5,60.65,30.92
2025-02-17 19:19:52.800927,Electronics,South,Customer_015,705.23,480.33,224.9,31.89
2025-02-17 19:19:52.800927,Food & Beverages,South,Customer_028,162.53,101.86,60.67,37.33
2025-02-17 19:19:52.800927,Food & Beverages,East,Customer_031,85.56,56.43,29.13,34.04
2025-02-17 19:19:52.800927,Electronics,Central,Customer_001,461.17,314.2,146.97,31.87
2025-02-17 19:19:52.800927,Home & Garden,East,Customer_005,148.86,96.55,52.31,35.14
2025-02-17 19:19:52.800927,Sports & Outdoors,West,Customer_036,253.97,163.6,90.37,35.58
2025-02-17 19:19:52.800927,Home & Garden,South,Customer_038,193.88,117.51,76.37,39.39
2025-02-17 19:19:52.800927,Electronics,North,Customer_050,478.79,309.34,169.45,35.39
2025-02-17 19:19:52.800927,Food & Beverages,Central,Customer_023,118.12,82.3,35.83,30.33
2025-02-17 19:19:52.800927,Home & Garden,East,Customer_040,322.46,216.32,106.14,32.92
2025-02-17 19:19:52.800927,Electronics,North,Customer_041,96.69,62.52,34.16,35.33
2025-02-17 19:19:52.800927,Electronics,North,Customer_035,681.4,428.62,252.77,37.1
2025-02-17 19:19:52.800927,Sports & Outdoors,South,Customer_032,83.55,51.67,31.87,38.15
2025-02-17 19:19:52.800927,Sports & Outdoors,South,Customer_038,126.71,84.78,41.93,33.09
2025-02-17 19:19:52.800927,Clothing,South,Customer_016,17.97,12.07,5.9,32.84
2025-02-17 19:19:52.800927,Home & Garden,North,Customer_003,320.82,216.53,104.28,32.5
2025-02-18 19:19:52.800927,Clothing,West,Customer_024,104.54,64.29,40.25,38.5
2025-02-18 19:19:52.800927,Sports & Outdoors,North,Customer_036,170.04,107.76,62.28,36.63
2025-02-18 19:19:52.800927,Clothing,Central,Customer_020,72.68,44.86,27.82,38.28
2025-02-18 19:19:52.800927,Home & Garden,North,Customer_047,217.55,133.21,84.34,38.77
2025-02-18 19:19:52.800927,Clothing,West,Customer_035,250.02,165.64,84.38,33.75
2025-02-18 19:19:52.800927,Sports & Outdoors,West,Customer_021,110.78,77.45,33.33,30.08
2025-02-18 19:19:52.800927,Home & Garden,East,Customer_031,212.92,138.27,74.65,35.06
2025-02-18 19:19:52.800927,Electronics,West,Customer_022,84.19,54.4,29.79,35.38
2025-02-18 19:19:52.800927,Electronics,East,Customer_016,398.26,265.38,132.88,33.37
2025-02-18 19:19:52.800927,Clothing,South,Customer_001,161.42,103.77,57.65,35.71
2025-02-18 19:19:52.800927,Food & Beverages,East,Customer_029,159.0,106.95,52.04,32.73
2025-02-18 19:19:52.800927,Clothing,North,Customer_004,103.23,70.11,33.12,32.09
2025-02-18 19:19:52.800927,Electronics,Central,Customer_013,444.53,271.77,172.76,38.86
2025-02-18 19:19:52.800927,Clothing,North,Customer_049,105.42,65.2,40.21,38.15
2025-02-18 19:19:52.800927,Clothing,Central,Customer_008,197.26,135.28,61.98,31.42
2025-02-18 19:19:52.800927,Clothing,Central,Customer_026,247.55,168.87,78.68,31.78
2025-02-18 19:19:52.800927,Electronics,North,Customer_022,100.62,66.16,34.46,34.25
2025-02-18 19:19:52.800927,Clothing,West,Customer_018,10.0,6.07,3.93,39.34
2025-02-18 19:19:52.800927,Sports & Outdoors,East,Customer_030,183.2,112.17,71.03,38.77
2025-02-18 19:19:52.800927,Food & Beverages,East,Customer_044,72.36,47.6,24.77,34.22
2025-02-19 19:19:52.800927,Sports & Outdoors,North,Customer_035,137.13,90.53,46.6,33.98
2025-02-19 19:19:52.800927,Electronics,Central,Customer_048,724.18,469.9,254.27,35.11
2025-02-19 19:19:52.800927,Food & Beverages,Central,Customer_014,166.6,105.0,61.6,36.98
2025-02-19 19:19:52.800927,Electronics,South,Customer_031,296.62,203.01,93.61,31.56
2025-02-19 19:19:52.800927,Electronics,East,Customer_042,577.22,379.5,197.72,34.25
2025-02-19 19:19:52.800927,Food & Beverages,West,Customer_022,81.92,52.63,29.29,35.76
2025-02-19 19:19:52.800927,Clothing,East,Customer_013,151.9,92.0,59.91,39.44
2025-02-19 19:19:52.800927,Food & Beverages,South,Customer_026,145.34,100.06,45.28,31.16
2025-02-19 19:19:52.800927,Clothing,West,Customer_024,75.51,49.17,26.35,34.89
2025-02-19 19:19:52.800927,Sports & Outdoors,East,Customer_038,189.14,124.84,64.3,34.0
2025-02-19 19:19:52.800927,Food & Beverages,West,Customer_019,82.12,54.06,28.07,34.18
2025-02-19 19:19:52.800927,Home & Garden,South,Customer_011,190.28,130.91,59.37,31.2
2025-02-19 19:19:52.800927,Food & Beverages,South,Customer_021,86.12,56.77,29.34,34.07
2025-02-19 19:19:52.800927,Sports & Outdoors,East,Customer_034,287.78,181.17,106.61,37.05
2025-02-19 19:19:52.800927,Food & Beverages,Central,Customer_019,116.26,75.74,40.51,34.85
2025-02-19 19:19:52.800927,Food & Beverages,East,Customer_040,54.51,35.88,18.63,34.18
2025-02-20 19:19:52.800927,Clothing,South,Customer_032,114.02,76.28,37.74,33.1
2025-02-20 19:19:52.800927,Food & Beverages,South,Customer_040,163.54,109.61,53.93,32.98
2025-02-20 19:19:52.800927,Food & Beverages,Central,Customer_035,92.73,56.96,35.78,38.58
2025-02-20 19:19:52.800927,Sports & Outdoors,South,Customer_035,252.57,156.21,96.36,38.15
2025-02-20 19:19:52.800927,Clothing,East,Customer_031,141.94,94.2,47.74,33.64
2025-02-20 19:19:52.800927,Food & Beverages,West,Customer_003,79.79,53.54,26.24,32.89
2025-02-20 19:19:52.800927,Clothing,Central,Customer_044,15.05,9.25,5.8,38.56
2025-02-20 19:19:52.800927,Sports & Outdoors,South,Customer_033,364.04,220.04,144.0,39.56
2025-02-20 19:19:52.800927,Sports & Outdoors,East,Customer_002,134.72,94.06,40.66,30.18
2025-02-20 19:19:52.800927,Food & Beverages,East,Customer_048,13.84,8.88,4.95,35.8
2025-02-20 19:19:52.800927,Clothing,North,Customer_004,229.91,151.44,78.47,34.13
2025-02-20 19:19:52.800927,Electronics,Central,Customer_020,10.0,6.58,3.42,34.23
2025-02-20 19:19:52.800927,Electronics,East,Customer_027,698.73,464.33,234.4,33.55
2025-02-20 19:19:52.800927,Clothing,North,Customer_014,121.04,79.78,41.26,34.09
2025-02-21 19:19:52.800927,Sports & Outdoors,East,Customer_003,308.13,207.88,100.25,32.53
2025-02-21 19:19:52.800927,Electronics,West,Customer_002,267.81,167.67,100.14,37.39
2025-02-21 19:19:52.800927,Sports & Outdoors,West,Customer_042,70.93,46.06,24.87,35.06
2025-02-21 19:19:52.800927,Electronics,Central,Customer_047,235.46,156.66,78.8,33.47
2025-02-21 19:19:52.800927,Food & Beverages,West,Customer_047,76.0,49.72,26.28,34.58
2025-02-21 19:19:52.800927,Electronics,South,Customer_012,272.66,184.17,88.49,32.45
2025-02-21 19:19:52.800927,Home & Garden,South,Customer_049,109.84,71.55,38.29,34.86
2025-02-21 19:19:52.800927,Food & Beverages,North,Customer_015,49.26,34.03,15.23,30.92
2025-02-21 19:19:52.800927,Sports & Outdoors,North,Customer_012,126.29,82.47,43.82,34.7
2025-02-21 19:19:52.800927,Electronics,East,Customer_026,808.11,527.93,280.19,34.67
2025-02-21 19:19:52.800927,Home & Garden,Central,Customer_050,471.25,324.25,147.0,31.19
2025-02-21 19:19:52.800927,Food & Beverages,North,Customer_020,93.8,61.9,31.9,34.01
2025-02-21 19:19:52.800927,Clothing,West,Customer_028,172.58,105.16,67.42,39.07
2025-02-21 19:19:52.800927,Clothing,Central,Customer_001,147.21,90.12,57.09,38.78
2025-02-22 19:19:52.800927,Food & Beverages,North,Customer_007,111.36,69.33,42.03,37.74
2025-02-22 19:19:52.800927,Sports & Outdoors,West,Customer_043,20.95,12.91,8.04,38.39
2025-02-22 19:19:52.800927,Electronics,North,Customer_014,276.5,177.79,98.71,35.7
2025-02-22 19:19:52.800927,Food & Beverages,South,Customer_041,85.21,59.27,25.93,30.44
2025-02-22 19:19:52.800927,Home & Garden,South,Customer_047,460.47,298.22,162.25,35.24
2025-02-22 19:19:52.800927,Home & Garden,West,Customer_039,73.88,44.46,29.42,39.82
2025-02-22 19:19:52.800927,Sports & Outdoors,Central,Customer_029,230.92,150.19,80.73,34.96
2025-02-22 19:19:52.800927,Electronics,South,Customer_037,656.24,439.75,216.49,32.99
2025-02-22 19:19:52.800927,Food & Beverages,North,Customer_037,108.5,69.54,38.96,35.91
2025-02-22 19:19:52.800927,Clothing,North,Customer_002,113.21,72.38,40.84,36.07
2025-02-22 19:19:52.800927,Food & Beverages,Central,Customer_006,97.34,64.67,32.67,33.56
2025-02-22 19:19:52.800927,Home & Garden,West,Customer_020,297.28,186.18,111.1,37.37
2025-02-22 19:19:52.800927,Sports & Outdoors,East,Customer_002,188.03,120.91,67.12,35.7
2025-02-22 19:19:52.800927,Home & Garden,East,Customer_039,75.84,49.92,25.91,34.17
2025-02-22 19:19:52.800927,Electronics,North,Customer_043,540.67,371.96,168.71,31.2
2025-02-22 19:19:52.800927,Electronics,East,Customer_022,541.23,327.6,213.64,39.47
2025-02-23 19:19:52.800927,Clothing,West,Customer_006,10.0,6.01,3.99,39.85
2025-02-23 19:19:52.800927,Electronics,East,Customer_035,429.93,260.09,169.84,39.5
2025-02-23 19:19:52.800927,Food & Beverages,North,Customer_037,139.74,84.84,54.91,39.29
2025-02-23 19:19:52.800927,Electronics,West,Customer_020,365.86,232.76,133.1,36.38
2025-02-23 19:19:52.800927,Food & Beverages,East,Customer_035,43.35,29.55,13.8,31.84
2025-02-23 19:19:52.800927,Home & Garden,East,Customer_016,316.33,206.35,109.98,34.77
2025-02-23 19:19:52.800927,Sports & Outdoors,North,Customer_005,274.08,177.08,97.0,35.39
2025-02-23 19:19:52.800927,Food & Beverages,Central,Customer_017,64.45,44.23,20.22,31.38
2025-02-23 19:19:52.800927,Sports & Outdoors,West,Customer_040,115.25,74.87,40.38,35.04
2025-02-23 19:19:52.800927,Food & Beverages,West,Customer_044,141.79,92.38,49.42,34.85
2025-02-23 19:19:52.800927,Sports & Outdoors,East,Customer_008,288.84,187.83,101.02,34.97
2025-02-23 19:19:52.800927,Food & Beverages,Central,Customer_037,65.83,40.14,25.69,39.02
2025-02-23 19:19:52.800927,Clothing,Central,Customer_007,75.25,49.1,26.14,34.74
2025-02-23 19:19:52.800927,Electronics,Central,Customer_016,1006.27,665.1,341.18,33.9
